# index, name, Curso, Grupo, Sexo, prosocial, crttotal, _pos
305,1219,2,A,Female,0.666666666666667,3,"array([ 5.6907386 , -1.17399809])"
306,1223,2,A,Female,1.0,3,"array([ 5.65316786, -1.13681072])"
307,1222,2,A,Female,1.0,2,"array([ 5.74003354, -1.13367182])"
308,1221,2,A,Male,1.0,1,"array([ 5.81085567, -1.12816964])"
309,1225,2,A,Female,1.0,3,"array([ 5.70255025, -1.1885777 ])"
310,1224,2,A,Male,1.0,3,"array([ 5.6905097 , -1.14082049])"
311,1227,2,A,Female,0.666666666666667,2,"array([ 5.65474432, -1.18385511])"
312,1220,2,A,Male,0.666666666666667,2,"array([ 5.71636812, -1.11248832])"
313,1233,2,A,Female,0.333333333333333,2,"array([ 5.61543563, -1.16102015])"
314,1231,2,A,Male,0.666666666666667,3,"array([ 5.78596595, -1.14003357])"
315,1232,2,A,Male,1.0,2,"array([ 5.6991724 , -1.16028033])"
316,1228,2,A,Male,0.666666666666667,2,"array([ 5.68735522, -1.10482102])"
317,1236,2,A,Male,1.0,0,"array([ 5.72288347, -1.18958875])"
318,1234,2,A,Female,1.0,0,"array([ 5.58918563, -1.21657973])"
319,1242,2,A,Male,1.0,2,"array([ 5.71184581, -1.14680011])"
320,1246,2,A,Female,1.0,3,"array([ 5.62811945, -1.13592248])"
321,1218,2,A,Male,1.0,2,"array([ 5.73572382, -1.10937688])"
322,1240,2,A,Male,1.0,3,"array([ 5.74303974, -1.15536062])"
323,1241,2,A,Female,0.666666666666667,2,"array([ 5.68286423, -1.12430166])"
324,1217,2,A,Female,0.666666666666667,2,"array([ 5.67236339, -1.14365833])"
325,1243,2,A,Male,0.0,3,"array([ 5.67878406, -1.16226975])"
326,1244,2,A,Female,1.0,3,"array([ 5.65770767, -1.11291192])"
327,1216,2,A,Male,1.0,0,"array([ 5.67792954, -1.07966834])"
328,1247,2,A,Female,1.0,0,"array([ 5.64489538, -1.08386166])"
329,1215,2,A,Male,0.666666666666667,3,"array([ 5.72753406, -1.15845724])"
330,1226,2,A,Male,1.0,2,"array([ 5.7087218 , -1.08590116])"
331,1237,2,A,Male,0.333333333333333,3,"array([ 5.73868432, -1.1718015 ])"
332,1238,2,A,Female,0.666666666666667,3,"array([ 5.66488172, -1.23562135])"
333,1283,2,C,Male,1.0,2,"array([ 5.69191524, -1.19941238])"
334,1282,2,C,Female,1.0,3,"array([ 5.61941616, -1.27500236])"
335,1308,2,C,Male,1.0,3,"array([ 5.63660448, -1.19026831])"
336,1309,2,C,Female,1.0,3,"array([ 5.65381726, -1.30498382])"
337,1290,2,C,Male,1.0,2,"array([ 5.67631016, -1.18359022])"
338,1292,2,C,Female,0.666666666666667,3,"array([ 5.66574823, -1.20531796])"
339,1303,2,C,Female,0.666666666666667,3,"array([ 5.65551315, -1.28037302])"
340,1302,2,C,Female,1.0,3,"array([ 5.69283337, -1.27490129])"
